Brand,Model,Also Known As,Device Type,URL,Scraped At,Announced,Release Year,Status,Length mm,Width mm,Height mm,Weight g,Display Size inches,Resolution Width px,Resolution Height px,PPI,Storage Options,RAM Options,Main Camera MP,Selfie Camera MP,Battery mAh,SAR US Head W/kg,SAR US Body W/kg,SAR EU Head W/kg,SAR EU Body W/kg,Price USD,Price EUR,Price GBP,Price INR,Price Raw,Battery_Charging,Battery_Type,Body,Body_Build,Body_Dimensions,Body_SIM,Body_Weight,Comms_Bluetooth,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Display,Display_Protection,Display_Resolution,Display_Size,Display_Type,Features,Features_Sensors,Launch_Announced,Launch_Status,Main Camera_Dual,Main Camera_Features,Main Camera_Quad,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Memory,Memory_Card slot,Memory_Internal,Misc_Colors,Misc_Models,Misc_Price,Misc_SAR,Misc_SAR EU,Network,Network_2,Network_2G bands,Network_3,Network_3G bands,Network_4,Network_4G bands,Network_5G bands,Network_Speed,Network_Technology,Our Tests_Audio quality,Our Tests_Battery (old),Our Tests_Camera,Our Tests_Display,Our Tests_Loudspeaker,Our Tests_Performance,Platform_CPU,Platform_Chipset,Platform_GPU,Platform_OS,Selfie camera_Dual,Selfie camera_Features,Selfie camera_Single,Selfie camera_Video,Sound,Sound_3.5mm jack,Sound_Loudspeaker
Samsung,Samsung Galaxy S10 Lite,"Versions: SM-G770F/DS (Global); SM-G770F/DSM (Russia, India)",Phone,https://www.gsmarena.com/samsung_galaxy_s10_lite-9917.php,2026-06-03 05:45 UTC,"2020, January 03",2020,"Available. Released 2020, February 03",162.5,75.6,8.1,186,6.7,1080,2400,394,128GB | 512GB,6GB | 8GB,48,32,4500,0.69,0.93,0.49,1.52,,,,,About 380 EUR,45W wired,"Li-Po 4500 mAh, non-removable",,"Glass front (Gorilla Glass 3+), aluminum frame, plastic back",162.5 x 75.6 x 8.1 mm (6.40 x 2.98 x 0.32 in),· Nano-SIM · Nano-SIM + Nano-SIM,186 g (6.56 oz),"5.0, A2DP, LE",Yes,"GPS, GLONASS, GALILEO, BDS",FM radio (market/region dependent),USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,Corning Gorilla Glass 3+,"1080 x 2400 pixels, 20:9 ratio (~394 ppi density)","6.7 inches, 107.8 cm 2 (~87.8% screen-to-body ratio)","Super AMOLED Plus, HDR10+",ANT+,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","2020, January 03","Available. Released 2020, February 03",,"LED flash, panorama, HDR",,,"48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF, Super Steady OIS 12 MP, f/2.2, 12mm (ultrawide) 5 MP (macro)","4K@30/60fps, 1080p@30/60/240fps; gyro-EIS",UFS 2.1,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 512GB 8GB RAM","Prism White, Prism Black, Prism Blue","SM-G770F, SM-G770F/DS, SM-G770F/DSM, SM-G770U1",About 380 EUR,0.69 W/kg (head)     0.93 W/kg (body),0.49 W/kg (head)     1.52 W/kg (body),,,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",,"HSPA, LTE",GSM / HSPA / LTE,Noise -93.7dB / Crosstalk -94.7dB,Endurance rating 110h,Photo / Video,705 nits max brightness (measured),-27.2 LUFS (Good),"AnTuTu: 370751 (v7), 459497 (v8) GeekBench: 11151 (v4.4), 2732 (v5.1) GFXBench: 56fps (ES 3.1 onscreen)",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Qualcomm SM8150 Snapdragon 855 (7 nm),Adreno 640,"Android 10, upgradable to Android 13, One UI 5",,HDR,"32 MP, f/2.2, 25mm (wide), 1/2.8"", 0.8µm",1080p@30fps,,No,Yes
Samsung,Samsung Galaxy A01,"Versions: SM-A015F/DS (Global), SM-A015G/DS (India), SM-A015M/DS (LATAM)",Phone,https://www.gsmarena.com/samsung_galaxy_a01-9999.php,2026-06-03 05:45 UTC,"2019, December 17. Released 2020, January",2019,Discontinued,146.2,70.9,8.3,149,5.7,720,1520,294,16GB | 32GB,2GB,13,5,3000,,,0.35,1.56,,,,,About 200 EUR,,"Li-Ion 3000 mAh, non-removable",,"Glass front, plastic back, plastic frame",146.2 x 70.9 x 8.3 mm (5.76 x 2.79 x 0.33 in),· Nano-SIM · Nano-SIM + Nano-SIM,149 g (5.26 oz),"4.2, A2DP, LE",No,"GPS, GLONASS, GALILEO, BDS","FM radio, RDS, recording",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,"720 x 1520 pixels, 19:9 ratio (~294 ppi density)","5.7 inches, 81.6 cm 2 (~78.8% screen-to-body ratio)",PLS LCD,,"Accelerometer, proximity","2019, December 17. Released 2020, January",Discontinued,"13 MP, f/2.2, 28mm (wide), 1/3.1"", 1.12µm, AF Auxiliary lens",LED flash,,,,1080p@30fps,eMMC 5.1,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","Black, Blue, Red","SM-A015F, SM-A015F/DS, SM-A015G, SM-A015G/DS, SM-A015M, SM-A015M/DS, SM-A015T1, SM-S111DL, SM-A015V, SM-A015A, SM-A015AZ, SM-A015U, SM-A015U1",About 200 EUR,,0.35 W/kg (head)     1.56 W/kg (body),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - SM-A015M,"1, 2, 3, 4, 5, 7, 8, 12, 17, 28 - SM-A015M",GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 2100,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",GSM / HSPA / LTE,,,,,,,Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53),Qualcomm SDM439 Snapdragon 439 (12 nm),Adreno 505,"Android 10, upgradable to Android 12, One UI Core 4.1",,,"5 MP, f/2.2, 1/5.0"", 1.12µm",Yes,,Yes,Yes
Samsung,Samsung Galaxy A71,"Also available with 5GVersions: SM-A715F/DS, SM-A715F/DSN (Global); SM-A715F/DSM (Russia)",Phone,https://www.gsmarena.com/samsung_galaxy_a71-9995.php,2026-06-03 05:45 UTC,"2019, December 12. Released 2020, January 17",2019,Discontinued,163.6,76,7.7,179,6.7,1080,2400,393,128GB,6GB | 8GB,64,32,4500,0.98,0.90,0.51,1.56,,,,,About 120 EUR,25W wired,"Li-Ion 4500 mAh, non-removable",,"Glass front (Gorilla Glass 3), plastic back, plastic frame",163.6 x 76 x 7.7 mm (6.44 x 2.99 x 0.30 in),· Nano-SIM · Nano-SIM + Nano-SIM,179 g (6.31 oz),"5.0, A2DP, LE",Yes (market dependent),"GPS, GLONASS, GALILEO, BDS",FM radio,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,Corning Gorilla Glass 3,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","6.7 inches, 108.4 cm 2 (~87.2% screen-to-body ratio)",Super AMOLED Plus,ANT+,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","2019, December 12. Released 2020, January 17",Discontinued,,"LED flash, panorama, HDR","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 12 MP, f/2.2, 123˚ (ultrawide) 5 MP (macro) Auxiliary lens",,,"4K@30fps, 1080p@30/240fps, 1080p@960fps; gyro-EIS",UFS 2.1,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","Prism Crush Black, Prism Crush Silver, Prism Crush Blue, Prism Crush Pink","SM-A715F, SM-A715F/DS, SM-A715F/DSN, SM-A715F/DSM, SM-A715W, SM-A715X",About 120 EUR,0.98 W/kg (head)     0.90 W/kg (body),0.51 W/kg (head)     1.56 W/kg (body),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 38, 40, 41, 66",,"HSPA, LTE",GSM / HSPA / LTE,Noise -93.5dB / Crosstalk -92.6dB,Endurance rating 102h,Photo / Video,515 nits max brightness (measured),-29.0 LUFS (Average),"AnTuTu: 192 458(v7), 263396 (v8) GeekBench: 7039 (v4.4), 1733 (v5.1) GFXBench: 15fps (ES 3.1 onscreen)",Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Qualcomm SDM730 Snapdragon 730 (8 nm) - Global Qualcomm SDM730 Snapdragon 730G (8 nm) - Philippines,Adreno 618,"Android 10, upgradable to Android 13, One UI 5",,HDR,"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",,Yes,Yes
Samsung,Samsung Galaxy A51,Also available with 5GVersions: SM-A515F/DSN (Global); SM-A515F/DS (LATAM); SM-A515F/DST (Brazil); SM-A515F/DSM (Russia); SM-A515F/N (Australia); SM-A515U (USA),Phone,https://www.gsmarena.com/samsung_galaxy_a51-9963.php,2026-06-03 05:45 UTC,"2019, December 12. Released 2019, December 16",2019,Discontinued,158.5,73.6,7.9,172,6.5,1080,2400,405,128GB | 256GB | 64GB,4GB | 6GB | 8GB,48,32,4000,0.80,0.67,0.37,1.59,,,,,About 100 EUR,15W wired,"Li-Po 4000 mAh, non-removable",,"Glass front (Gorilla Glass 3), plastic back, plastic frame",158.5 x 73.6 x 7.9 mm (6.24 x 2.90 x 0.31 in),· Nano-SIM · Nano-SIM + Nano-SIM,172 g (6.07 oz),"5.0, A2DP, LE",Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,Corning Gorilla Glass 3,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","6.5 inches, 102.0 cm 2 (~87.4% screen-to-body ratio)",Super AMOLED,Virtual proximity sensing ANT+,"Fingerprint (under display, optical), accelerometer, gyro, compass","2019, December 12. Released 2019, December 16",Discontinued,,"LED flash, panorama, HDR","48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF 12 MP, f/2.2, 123˚ (ultrawide) 5 MP (macro) Auxiliary lens",,,"4K@30fps, 1080p@30/120fps; gyro-EIS",UFS 2.0,microSDXC (dedicated slot),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","Prism Crush Black, Prism Crush White, Prism Crush Blue, Prism Crush Pink","SM-A515F, SM-A515F/DSN, SM-A515F/DS, SM-A515F/DST, SM-A515F/DSM, SM-A515F/N, SM-A515U, SM-A515U1, SM-A515W, SM-A515X, SM-S515DL",About 100 EUR,0.80 W/kg (head)     0.67 W/kg (body),0.37 W/kg (head)     1.59 W/kg (body),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2, 4, 5, 12, 13, 25, 26, 41, 66, 71 - SM-A515U",GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",,"HSPA, LTE",GSM / HSPA / LTE,Noise -93.1dB / Crosstalk -87.3dB,Endurance rating 86h,Photo / Video,636 nits max brightness (measured),-28.6 LUFS (Average),"AnTuTu: 113051 (v7), 175363 (v8) GeekBench: 5401 (v4.4), 1294 (v5.1) GFXBench: 5.6fps (ES 3.1 onscreen)",Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Exynos 9611 (10 nm),Mali-G72 MP3,"Android 10, upgradable to Android 13, One UI 5",,HDR,"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",,Yes,Yes
Samsung,Samsung Galaxy XCover FieldPro,Versions: SM-G889F (Global); SM-G889A (AT&T),Phone,https://www.gsmarena.com/samsung_galaxy_xcover_fieldpro-9937.php,2026-06-03 05:45 UTC,"2019, October. Released 2020, April 06",2019,Discontinued,158.5,80.7,14.2,256,5.1,1440,2560,576,64GB,4GB,12,8,4500,1.20,0.67,0.80,1.37,,,,,About 1020 EUR,,"Li-Po 4500 mAh, removable",IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) MIL-STD-810G compliant DGUV112-139 certified Emergency PTT key,,158.5 x 80.7 x 14.2 mm (6.24 x 3.18 x 0.56 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",256 g (9.03 oz),"5.0, A2DP, LE",Yes,"GPS, GLONASS, GALILEO",FM radio,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac/6/i/r, dual-band, Wi-Fi Direct",,,"1440 x 2560 pixels, 16:9 ratio (~576 ppi density)","5.1 inches, 71.7 cm 2 (~56.1% screen-to-body ratio)",IPS LCD,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","2019, October. Released 2020, April 06",Discontinued,,"Triple-LED flash, HDR, panorama",,"12 MP, f/1.5-2.4, (wide), 1/2.55"", 1.4µm, PDAF",,1080p@30fps,UFS 2.1,microSDXC (dedicated slot),64GB 4GB RAM,Black,"SM-G889F, SM-G889A",About 1020 EUR,1.20 W/kg (head)     0.67 W/kg (body),0.80 W/kg (head)     1.37 W/kg (body),,,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,,"1, 2, 3, 4, 5, 7, 12, 14, 20, 29, 30, 38, 39, 40, 41, 66 - USA",,"HSPA 42.2/5.76 Mbps, LTE (3CA) Cat11 600/75 Mbps",GSM / HSPA / LTE,,,,,,,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55),Exynos 9810 (10 nm),Mali-G72 MP18,Android 8.0 (Oreo),,HDR,"8 MP, f/1.7",1080p@30fps,,Yes,"Yes, with dual speakers"
Samsung,Samsung Galaxy A70s,"Versions: SM-A707F/DS, SM-A707FN/DS (Global); SM-A707GM/DS, SM-A707MN/DS, SM-A7070 (China, Hong Kong), SM-A707W (Canada)",Phone,https://www.gsmarena.com/samsung_galaxy_a70s-9899.php,2026-06-03 05:45 UTC,"2019, September. Released 2019, September",2019,Discontinued,164.3,76.7,7.9,187,6.7,1080,2400,393,128GB,6GB | 8GB,64,32,4500,,,0.42,1.48,,,,,About 380 EUR,25W wired,"Li-Po 4500 mAh, non-removable",,"Glass front (Gorilla Glass 3), plastic back, plastic frame",164.3 x 76.7 x 7.9 mm (6.47 x 3.02 x 0.31 in),· Nano-SIM · Nano-SIM + Nano-SIM,187 g (6.60 oz),"5.0, A2DP, LE",Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,Corning Gorilla Glass (unspecified),"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","6.7 inches, 108.4 cm 2 (~86.0% screen-to-body ratio)",Super AMOLED,ANT+,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","2019, September. Released 2019, September",Discontinued,,"LED flash, panorama, HDR",,,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm Auxiliary lens","4K@30fps, 1080p@30/240fps",UFS 2.0,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","Prism Crush Red, Prism Crush White, Prism Crush Black","SM-A707F, SM-A707FN, SM-A707GM, SM-A707MN, SM-A7070, SM-A707W",About 380 EUR,,0.42 W/kg (head)     1.48 W/kg (body),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 20, 38, 40, 41",,"HSPA, LTE",GSM / HSPA / LTE,,,,,,,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Qualcomm SDM675 Snapdragon 675 (11 nm),Adreno 612,"Android 9.0 (Pie), upgradable to Android 11, One UI 3.1",,HDR,"32 MP, f/2.0, 25mm (wide), 1/2.8"", 0.8µm",1080p@30fps,,Yes,Yes
Samsung,Samsung Galaxy A20s,"Versions: SM-A207F/DS (Global), SM-A207M/DS (LATAM, Brazil), SM-A2070 (HK, China)",Phone,https://www.gsmarena.com/samsung_galaxy_a20s-9852.php,2026-06-03 05:45 UTC,"2019, September 24. Released 2019, October 05",2019,Discontinued,163.3,77.5,8,183,6.5,720,1560,264,32GB | 64GB,2GB | 3GB | 4GB,13,8,4000,0.69,1.43,0.35,0.83,,,,,About 250 EUR,15W wired,"Li-Po 4000 mAh, non-removable",,"Glass front, plastic back, plastic frame",163.3 x 77.5 x 8 mm (6.43 x 3.05 x 0.31 in),· Nano-SIM · Nano-SIM + Nano-SIM,183 g (6.46 oz),"4.2, A2DP, LE",No,"GPS, GLONASS, GALILEO, BDS",FM radio,USB Type-C 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,"720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)","6.5 inches, 103.7 cm 2 (~81.9% screen-to-body ratio)",IPS LCD,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2019, September 24. Released 2019, October 05",Discontinued,,"LED flash, panorama, HDR",,,"13 MP, f/1.8, 27mm (wide), PDAF 8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm Auxiliary lens",1080p@30fps,eMMC 5.1,microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM","Black, Blue, Red, Green","SM-A207F, SM-A207M, SM-A2070",About 250 EUR,0.69 W/kg (head)     1.43 W/kg (body),0.35 W/kg (head)     0.83 W/kg (body),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - SM-A207M/DS,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 38, 40, 41, 66 - SM-A207M/DS",GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1900 / 2100 - SM-A207F/DS,,"1, 2, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41 - SM-A207F/DS",,"HSPA, LTE",GSM / HSPA / LTE,,,,,,,Octa-core 1.8 GHz Cortex-A53,Qualcomm SDM450 Snapdragon 450 (14 nm),Adreno 506,"Android 9.0 (Pie), upgradable to Android 11, One UI Core 3.1",,,"8 MP, f/2.0",1080p@30fps,,Yes,Yes
Samsung,Samsung Galaxy M30s,Versions: SM-M307FN/DS (Global); SM-M307F/DS (India),Phone,https://www.gsmarena.com/samsung_galaxy_m30s-9818.php,2026-06-03 05:45 UTC,"2019, September 18. Released 2019, October 30",2019,Discontinued,159,75.1,8.9,188,6.4,1080,2340,403,128GB | 64GB,4GB | 6GB,48,16,6000,0.47,,0.49,1.13,,,,,About 260 EUR,15W wired,"Li-Po 6000 mAh, non-removable",,"Glass front, plastic back, plastic frame",159 x 75.1 x 8.9 mm (6.26 x 2.96 x 0.35 in),Nano-SIM + Nano-SIM,188 g (6.63 oz),"5.0, A2DP, LE",Yes (market/region dependent),"GPS, GLONASS, BDS","FM radio, RDS, recording",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","6.4 inches, 100.5 cm 2 (~84.2% screen-to-body ratio)","Super AMOLED, 420 nits (peak)",,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2019, September 18. Released 2019, October 30",Discontinued,,"LED flash, panorama, HDR",,,"48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm Auxiliary lens","4K@30fps, 1080p@30fps, gyro-EIS",UFS 2.1,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","Opal Black, Sapphire Blue, Pearl White","SM-M307F, SM-M307FN, SM-M307F/DS, SM-M307FN/DS, SM-M3070",About 260 EUR,0.47 W/kg (head),0.49 W/kg (head)     1.13 W/kg (body),,,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 20, 38, 40, 41",,"HSPA, LTE",GSM / HSPA / LTE,Noise -93.7dB / Crosstalk -93.2dB,Endurance rating 130h,Photo / Video,642 nits max brightness (measured),,"AnTuTu: 152075 (v7), 180321 (v8) GeekBench: 5566 (v4.4), 1288 (v5.1) GFXBench: 8.7fps (ES 3.1 onscreen)",Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Exynos 9611 (10 nm),Mali-G72 MP3,"Android 9.0 (Pie), upgradable to Android 11, One UI 3.0",,HDR,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,,Yes,Yes
Samsung,Samsung Galaxy M10s,"Versions: SM-M107F/DS (Global), SM-M107G/DS, SM-M107Y/DS, SM-M107M",Phone,https://www.gsmarena.com/samsung_galaxy_m10s-9861.php,2026-06-03 05:45 UTC,"2019, September. Released 2019, September",2019,Discontinued,158.4,74.7,7.8,169,6.4,720,1560,268,32GB,3GB,13,8,4000,0.39,,,,,,,,About 110 EUR,15W wired,"Li-Ion 4000 mAh, non-removable",,"Glass front, plastic back, plastic frame",158.4 x 74.7 x 7.8 mm (6.24 x 2.94 x 0.31 in),Nano-SIM + Nano-SIM,169 g (5.96 oz),"5.0, A2DP, LE",No,"GPS, GLONASS, BDS",FM radio,USB Type-C 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,"720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)","6.4 inches, 100.5 cm 2 (~85.0% screen-to-body ratio)",Super AMOLED,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2019, September. Released 2019, September",Discontinued,"13 MP, f/1.9, 27mm (wide), 1/3.1"", 1.12µm, PDAF 5 MP, f/2.2, 12mm (ultrawide)","LED flash, panorama, HDR",,,,1080p@30fps,eMMC 5.1,microSDXC (dedicated slot),32GB 3GB RAM,"Stone Blue, Piano Black","SM-M107F, SM-M107G, SM-M107Y, SM-M107M",About 110 EUR,0.39 W/kg (head),,,,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 20, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",GSM / HSPA / LTE,,,,,,,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),Exynos 7884B (14 nm),Mali-G71 MP2,"Android 9.0 (Pie), upgradable to Android 10, One UI 2.0",,HDR,"8 MP, f/2.0",1080p@30fps,,Yes,Yes
Samsung,Samsung Galaxy Fold 5G,"Also available with 4G/LTE onlyVersions: SM-F907F, SM-F907B (Global); SM-F907U (USA); SM-F907W (Canada); SM-F9007 (China, Hong Kong); SM-F907N (Korea)Also known as Samsung Galaxy W20 5G for Chinese market with dual SIM cards slot",Tablet,https://www.gsmarena.com/samsung_galaxy_fold_5g-9851.php,2026-06-03 05:45 UTC,"2019, February. Released 2019, September",2019,Discontinued,160.9,117.9,6.9,276,7.3,1536,2152,362,512GB,12GB,12,10,4235,0.41,1.39,0.49,1.58,,,,,About 1400 EUR,15W wired 15W wireless 4.5W reverse wireless,"Li-Po 4235 mAh, non-removable",,"Glass front (folded), plastic front (unfolded), glass back, aluminum frame",Unfolded: 160.9 x 117.9 x 6.9 mm Folded: 160.9 x 62.9 x 15.5 mm,Nano-SIM,276 g (9.74 oz),"5.0, A2DP, LE, aptX HD",Yes,"GPS, GLONASS, GALILEO, BDS",No,USB Type-C 3.1,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","Cover display: Super AMOLED, 4.6 inches, 720 x 1680 pixels, 21:9 ratio",,1536 x 2152 pixels (~362 ppi density),"7.3 inches, 162.6 cm 2 (~85.7% screen-to-body ratio)","Foldable Dynamic AMOLED, HDR10+",ANT+ Samsung DeX (desktop experience support),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","2019, February. Released 2019, September",Discontinued,,"LED flash, HDR, panorama",,,"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1/3.1"", 1.0µm","4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10",UFS 3.0,No,512GB 12GB RAM,"Space Silver, Cosmos Black","SM-F907F, SM-F9007, SM-F907W, SM-F907U, SM-F907B, SM-F907N",About 1400 EUR,0.41 W/kg (head)     1.39 W/kg (body),0.49 W/kg (head)     1.58 W/kg (body),HSDPA 850 / 1700(AWS) / 1900 / 2100,,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 46, 66, 71",78 NSA/Sub6,"HSPA 42.2/5.76 Mbps, LTE (6CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL)",GSM / HSPA / LTE / 5G,,Endurance rating 90h,,Contrast ratio: 185000:1 (nominal),Voice 70dB / Noise 73dB / Ring 90dB,Basemark OS II 2.0: 4527 Basemark X: 45154,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Qualcomm SM8150 Snapdragon 855 (7 nm),Adreno 640,"Android 9.0 (Pie), upgradable to Android 12, One UI 4","10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm 8 MP, f/1.9, 24mm (wide), 1.22µm, depth sensor Cover camera: 10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm",HDR,,"4K@30fps, 1080p@30fps, gyro-EIS",High-bitrate audio support,No,"Yes, with stereo speakers"
