Brand,Model,Also Known As,Device Type,URL,Scraped At,Announced,Release Year,Status,Length mm,Width mm,Height mm,Weight g,Display Size inches,Resolution Width px,Resolution Height px,PPI,Storage Options,RAM Options,Main Camera MP,Selfie Camera MP,Battery mAh,SAR US Head W/kg,SAR US Body W/kg,SAR EU Head W/kg,SAR EU Body W/kg,Price USD,Price EUR,Price GBP,Price INR,Price Raw,Battery_Charging,Battery_Stand-by,Battery_Talk time,Battery_Type,Body,Body_Dimensions,Body_Keyboard,Body_SIM,Body_Weight,Comms_Bluetooth,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Display,Display_Resolution,Display_Size,Display_Type,Features,Features_Games,Features_Java,Features_Messaging,Features_Sensors,Launch_Announced,Launch_Status,Main Camera_Dual,Main Camera_Features,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Memory,Memory_Call records,Memory_Card slot,Memory_Internal,Memory_Phonebook,Misc_Colors,Network,Network_2,Network_2G bands,Network_3G bands,Network_4G bands,Network_EDGE,Network_GPRS,Network_Speed,Network_Technology,Platform_CPU,Platform_Chipset,Platform_GPU,Platform_OS,Selfie camera,Selfie camera_Single,Selfie camera_Video,Sound_3.5mm jack,Sound_Loudspeaker
Ulefone,Ulefone Armor X5,,Phone,https://www.gsmarena.com/ulefone_armor_x5-10025.php,2026-06-03 05:45 UTC,"2019, December. Released 2019, December",2019,Discontinued,150,78.9,14.4,223.8,5.5,720,1440,293,32GB,3GB,13,5,5000,,,,,,,,,,10W wired,,,Li-Po 5000 mAh,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) Drop resistant up to 1.2m MIL-STD-810G compliant,150 x 78.9 x 14.4 mm (5.91 x 3.11 x 0.57 in),,Nano-SIM + Nano-SIM,223.8 g (7.90 oz),"5.0, A2DP, LE",No,"GPS, GLONASS","Stereo FM radio, RDS, recording",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","5.5 inches, 78.1 cm 2 (~66.0% screen-to-body ratio)",IPS LCD,,,,,"Accelerometer, proximity, compass","2019, December. Released 2019, December",Discontinued,"13 MP, f/1.8, (wide), AF 2 MP",Dual-LED flash,,,1080p@30fps,eMMC 5.1,,microSDXC (uses shared SIM slot),32GB 3GB RAM,,"Black, Red, Orange",,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28",,,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat7 300/150 Mbps",GSM / HSPA / LTE,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mediatek MT6763 Helio P23 (16 nm),Mali-G71 MP2,Android 9.0 (Pie),,5 MP,720p@30fps,Yes,Yes
Ulefone,Ulefone T2,,Phone,https://www.gsmarena.com/ulefone_t2-10027.php,2026-06-03 05:45 UTC,"2019, August. Released 2019, August",2019,Discontinued,167.6,80.3,8.7,197.2,6.7,1080,2280,377,128GB,6GB,16,8,4200,,,,,,,,,,18W wired 10W wireless,,,Li-Po 4200 mAh,,167.6 x 80.3 x 8.7 mm (6.60 x 3.16 x 0.34 in),,Nano-SIM + Nano-SIM,197.2 g (6.95 oz),"4.2, A2DP, LE",Yes,"GPS, GLONASS, BDS","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"1080 x 2280 pixels, 19:9 ratio (~377 ppi density)","6.7 inches, 112.0 cm 2 (~83.3% screen-to-body ratio)",IPS LCD,,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2019, August. Released 2019, August",Discontinued,,"Dual-LED dual-tone flash, HDR, panorama","16 MP, f/1.8, (wide), AF 8 MP",,1080p@30fps,eMMC 5.1,,microSDXC (uses shared SIM slot),128GB 6GB RAM,,"Bordeaux Red, Glacier Blue",CDMA 800 / 1900,CDMA2000 1xEV-DO,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41",,,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps",GSM / CDMA / HSPA / EVDO / LTE,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.1 GHz Cortex-A53),Mediatek MT6771 Helio P70 (12 nm),Mali-G72 MP3,Android 9.0 (Pie),,8 MP,1080p@30fps,No,Yes
Ulefone,Ulefone Armor X3,,Phone,https://www.gsmarena.com/ulefone_armor_x3-10026.php,2026-06-03 05:45 UTC,"2019, July. Released 2019, July",2019,Discontinued,158,77.5,13.9,235,5.5,720,1440,293,32GB,2GB,8,5,5000,,,,,,,,,,10W wired,,,Li-Po 5000 mAh,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) Drop resistant up to 1.2m MIL-STD-810G compliant,158 x 77.5 x 13.9 mm (6.22 x 3.05 x 0.55 in),,Nano-SIM + Nano-SIM,235 g (8.29 oz),"4.0, A2DP",No,GPS,"Stereo FM radio, RDS, recording",microUSB 2.0,Wi-Fi 802.11 b/g/n,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","5.5 inches, 78.1 cm 2 (~63.8% screen-to-body ratio)",IPS LCD,,,,,"Accelerometer, proximity, compass","2019, July. Released 2019, July",Discontinued,"8 MP, f/1.8, (wide), AF 2 MP",Dual-LED flash,,,1080p@30fps,eMMC 5.1,,microSDXC (uses shared SIM slot),32GB 2GB RAM,,"Black, Red, Silver",,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,HSPA 21.1/5.76 Mbps,GSM / HSPA,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580 (28 nm),Mali-400,Android 9.0 (Pie),,5 MP,720p@30fps,Yes,Yes
Ulefone,Ulefone Armor 5S,,Phone,https://www.gsmarena.com/ulefone_armor_5s-10028.php,2026-06-03 05:45 UTC,"2019, July. Released 2019, July",2019,Discontinued,158.3,76,12.6,228,5.85,720,1512,286,64GB,4GB,13,8,5000,,,,,,,,,,10W wired 10W wireless,,,Li-Po 5000 mAh,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) Drop resistant up to 1.2m MIL-STD-810G compliant,158.3 x 76 x 12.6 mm (6.23 x 2.99 x 0.50 in),,Nano-SIM + Nano-SIM,228 g (8.04 oz),"4.0, A2DP",Yes,"GPS, GLONASS","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,"720 x 1512 pixels, 19:9 ratio (~286 ppi density)","5.85 inches, 85.7 cm 2 (~71.2% screen-to-body ratio)",IPS LCD,,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, coulombmeter","2019, July. Released 2019, July",Discontinued,"13 MP, f/1.8, (wide), AF 2 MP","Dual-LED dual-tone flash, HDR, panorama",,,1080p@30fps,eMMC 5.1,,microSDXC (uses shared SIM slot),64GB 4GB RAM,,Black,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20",,,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat7 300/150 Mbps",GSM / HSPA / LTE,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mediatek MT6763 Helio P23 (16 nm),Mali-G71 MP2,Android 9.0 (Pie),,8 MP,1080p@30fps,No,Yes
Ulefone,Ulefone Armor 6E,,Phone,https://www.gsmarena.com/ulefone_armor_6e-10031.php,2026-06-03 05:45 UTC,"2019, May. Released 2019, May",2019,Discontinued,166,83,13.3,267.5,6.2,1080,2246,402,64GB,4GB,16,8,5000,,,,,,,,,,18W wired 10W wireless,,,Li-Po 5000 mAh,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) Drop resistant up to 1.2m MIL-STD-810G compliant,166 x 83 x 13.3 mm (6.54 x 3.27 x 0.52 in),,Nano-SIM + Nano-SIM,267.5 g (9.45 oz),"4.2, A2DP, LE",Yes,"GPS, GLONASS, BDS","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)","6.2 inches, 96.9 cm 2 (~70.3% screen-to-body ratio)",IPS LCD,,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, baroceptor, uv sensor","2019, May. Released 2019, May",Discontinued,"16 MP, f/1.8, (wide), AF 2 MP","LED flash, HDR, panorama",,,1080p@30fps,eMMC 5.1,,microSDXC (uses shared SIM slot),64GB 4GB RAM,,"Black, Red",CDMA 800 / 1900,CDMA2000 1xEV-DO,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 66, 34, 38, 39, 40, 41",,,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps",GSM / CDMA / HSPA / EVDO / LTE,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.1 GHz Cortex-A53),Mediatek MT6771 Helio P70 (12 nm),Mali-G72 MP3,Android 9.0 (Pie),,8 MP,1080p@30fps,No,Yes
Ulefone,Ulefone Note 7P,,Phone,https://www.gsmarena.com/ulefone_note_7p-10032.php,2026-06-03 05:45 UTC,"2019, May. Released 2019, May",2019,Discontinued,156.1,73.7,9.7,178.8,6.1,600,1280,232,32GB,3GB,8,5,3500,,,,,,,,,,,,,Li-Po 3500 mAh,,156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),,Nano-SIM + Micro-SIM,178.8 g (6.31 oz),"5.0, A2DP, LE",No,"GPS, GLONASS","Stereo FM radio, RDS, recording",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,600 x 1280 pixels (~232 ppi density),"6.1 inches, 92.3 cm 2 (~80.2% screen-to-body ratio)",IPS LCD,,,,,"Fingerprint (rear-mounted), accelerometer, proximity","2019, May. Released 2019, May",Discontinued,,"LED flash, HDR",,"8 MP, f/1.8, (wide), AF 2 MP 2 MP",1080p@30fps,eMMC 5.1,,microSDXC (uses shared SIM slot),32GB 3GB RAM,,"Black, Gold, Twilight",,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20",,,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps",GSM / HSPA / LTE,Quad-core 2.0 GHz Cortex-A53,Mediatek MT6761 Helio A22 (16 nm),PowerVR GE8320,Android 9.0 (Pie),,5 MP,,Yes,Yes
Ulefone,Ulefone S11,,Phone,https://www.gsmarena.com/ulefone_s11-10034.php,2026-06-03 05:45 UTC,"2019, April. Released 2019, April",2019,Discontinued,156.1,73.7,9.7,177.5,6.1,600,1280,232,32GB,3GB,8,5,3500,,,,,,,,,,,,,Li-Po 3500 mAh,,156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),,Nano-SIM + Micro-SIM,177.5 g (6.28 oz),"4.0, A2DP",No,GPS,"Stereo FM radio, RDS, recording",microUSB 2.0,Wi-Fi 802.11 b/g/n,,600 x 1280 pixels (~232 ppi density),"6.1 inches, 92.3 cm 2 (~80.2% screen-to-body ratio)",IPS LCD,,,,,"Accelerometer, proximity","2019, April. Released 2019, April",Discontinued,,"LED flash, HDR",,"8 MP, f/1.8, (wide), AF 2 MP 2 MP",720p@30fps,eMMC 5.1,,microSDXC (uses shared SIM slot),32GB 3GB RAM,,"Black, Gold, Twilight",,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,,,,HSPA 21.1/5.76 Mbps,GSM / HSPA,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580 (28 nm),Mali-400,Android 8.1 Oreo (Go edition),,5 MP,720p@30fps,Yes,Yes
Ulefone,Ulefone Note 7,,Phone,https://www.gsmarena.com/ulefone_note_7-10033.php,2026-06-03 05:45 UTC,"2019, April. Released 2019, April",2019,Discontinued,156.1,73.7,9.7,177.5,6.1,600,1280,232,32GB,3GB,8,5,3500,,,,,,,,,,,,,Li-Po 3500 mAh,,156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),,Nano-SIM + Micro-SIM,177.5 g (6.28 oz),"4.0, A2DP",No,GPS,"Stereo FM radio, RDS, recording",microUSB 2.0,Wi-Fi 802.11 b/g/n,,600 x 1280 pixels (~232 ppi density),"6.1 inches, 92.3 cm 2 (~80.2% screen-to-body ratio)",IPS LCD,,,,,"Accelerometer, proximity","2019, April. Released 2019, April",Discontinued,,"LED flash, HDR",,"8 MP, f/1.8, (wide), AF 2 MP 2 MP",720p@30fps,eMMC 5.1,,microSDXC (uses shared SIM slot),32GB 3GB RAM,,"Black, Gold, Twilight",,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,,,,HSPA 21.1/5.76 Mbps,GSM / HSPA,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580 (28 nm),Mali-400,Android 8.1 Oreo (Go edition),,5 MP,720p@30fps,Yes,Yes
Ulefone,Ulefone Armor X2,,Phone,https://www.gsmarena.com/ulefone_armor_x2-10035.php,2026-06-03 05:45 UTC,"2018, December. Released 2018, December",2018,Discontinued,163,76.6,13.9,256,5.5,720,1440,293,16GB,2GB,8,5,5500,,,,,,,,,,10W wired,,,Li-Po 5500 mAh,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) Drop resistant up to 1.2m MIL-STD-810G compliant,163 x 76.6 x 13.9 mm (6.42 x 3.02 x 0.55 in),,Nano-SIM + Nano-SIM,256 g (9.03 oz),"4.0, A2DP",Yes,GPS,"Stereo FM radio, RDS, recording",microUSB 2.0,Wi-Fi 802.11 b/g/n,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","5.5 inches, 78.1 cm 2 (~62.5% screen-to-body ratio)",IPS LCD,,,,,"Fingerprint (side-mounted), accelerometer, proximity","2018, December. Released 2018, December",Discontinued,"8 MP, f/1.8, (wide), AF 5 MP","Dual-LED flash, HDR",,,720p@30fps,eMMC 5.1,,microSDXC (uses shared SIM slot),16GB 2GB RAM,,"Dark Gray, Rose Gold",,,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,,,HSPA 21.1/5.76 Mbps,GSM / HSPA,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580 (28 nm),Mali-400,Android 8.1 (Oreo),,5 MP,720p@30fps,Yes,Yes
Ulefone,Ulefone S1,,Phone,https://www.gsmarena.com/ulefone_s1-10036.php,2026-06-03 05:45 UTC,"2018, August. Released 2018, August",2018,Discontinued,148.6,70.7,9.6,183,5.5,480,960,195,8GB,1GB,5,2,3000,,,,,,,,,,,,,Li-Po 3000 mAh,,148.6 x 70.7 x 9.6 mm (5.85 x 2.78 x 0.38 in),,Nano-SIM + Nano-SIM,183 g (6.46 oz),"4.0, A2DP",No,GPS,"Stereo FM radio, RDS, recording",microUSB 2.0,Wi-Fi 802.11 b/g/n,,"480 x 960 pixels, 18:9 ratio (~195 ppi density)","5.5 inches, 78.1 cm 2 (~74.3% screen-to-body ratio)",IPS LCD,,,,,"Accelerometer, proximity","2018, August. Released 2018, August",Discontinued,"5 MP, f/2.2, (wide), AF 5 MP","LED flash, HDR",,,720p@30fps,,,microSDXC (uses shared SIM slot),8GB 1GB RAM,,"Gold, Black",,,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,,,HSPA 21.1/5.76 Mbps,GSM / HSPA,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580 (28 nm),Mali-400,Android 8.1 Oreo (Go edition),,2 MP,,Yes,Yes
