Brand,Model,Also Known As,Device Type,URL,Scraped At,Announced,Release Year,Status,Length mm,Width mm,Height mm,Weight g,Display Size inches,Resolution Width px,Resolution Height px,PPI,Storage Options,RAM Options,Main Camera MP,Selfie Camera MP,Battery mAh,SAR US Head W/kg,SAR US Body W/kg,SAR EU Head W/kg,SAR EU Body W/kg,Price USD,Price EUR,Price GBP,Price INR,Price Raw,Battery_Charging,Battery_Music play,Battery_Stand-by,Battery_Stand-by_2,Battery_Talk time,Battery_Talk time_2,Battery_Type,Body,Body_Build,Body_Dimensions,Body_SIM,Body_Weight,Comms_Bluetooth,Comms_Infrared port,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Display,Display_Protection,Display_Resolution,Display_Size,Display_Type,Features,Features_Sensors,Launch_Announced,Launch_Status,Main Camera_Features,Main Camera_Single,Main Camera_Video,Memory,Memory_Card slot,Memory_Internal,Misc_Colors,Misc_Models,Misc_Price,Misc_SAR,Misc_SAR EU,Network,Network_2,Network_2G bands,Network_3G bands,Network_4G bands,Network_EDGE,Network_GPRS,Network_Speed,Network_Technology,Our Tests_Audio quality,Our Tests_Battery (old),Our Tests_Camera,Our Tests_Display,Our Tests_Loudspeaker,Our Tests_Performance,Platform_CPU,Platform_Chipset,Platform_GPU,Platform_OS,Selfie camera,Selfie camera_Single,Selfie camera_Video,Sound,Sound_3.5mm jack,Sound_Loudspeaker
Sony,Sony Xperia Z2 Tablet LTE,,Tablet,https://www.gsmarena.com/sony_xperia_z2_tablet_lte-6145.php,2026-06-03 05:54 UTC,"2014, February. Released 2014, March",2014,Discontinued,266,172,6.4,439,10.1,1200,1920,224,16GB,3GB,1,2,6000,,,,,,,,,About 350 EUR,"18W wired, QC2",Up to 188 h,Up to 1240 h (2G) / Up to 1200 h (3G),,Up to 13 h (multimedia),,"Li-Po 6000 mAh, non-removable",IP58 dust/water resistant (up to 1.5m for 30 min),,266 x 172 x 6.4 mm (10.47 x 6.77 x 0.25 in),Micro-SIM,439 g (15.49 oz),"4.0, A2DP, aptX",Yes,Yes,"GPS, GLONASS","FM radio, RDS","microUSB 2.0 (MHL 3 TV-out), magnetic connector","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Triluminos display X-Reality Engine,Shatter proof glass,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","10.1 inches, 295.8 cm 2 (~64.7% screen-to-body ratio)",TFT,ANT+,"Accelerometer, gyro, compass","2014, February. Released 2014, March",Discontinued,"HDR, panorama","8.1 MP, AF","1080p@30fps, 720p@30fps (HDR), stereo sound rec.",eMMC 5.0,microSDXC (dedicated slot),16GB 3GB RAM,"Black, White (SGP521) / Black (SGP541, SGP551)",,About 350 EUR,,,"1, 2, 3, 4, 5, 7, 8 - SGP551",,GSM 850 / 900 / 1800 / 1900 - all models,"HSDPA 850 / 900 / 1700 / 1900 / 2100 - SGP541, SGP521, SGP551","1, 2, 3, 4, 5, 7, 8, 13, 17, 20 - SGP521",,,"HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps",GSM / HSPA / LTE,,,Photo / Video,,,,Quad-core 2.3 GHz Krait 400,Qualcomm MSM8974AB Snapdragon 801 (28 nm),Adreno 330,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop)",,2.2 MP,1080p@30fps,3D surround sound,Yes,"Yes, with stereo speakers"
Sony,Sony Xperia Z2 Tablet Wi-Fi,SGP511 16 GBSGP512 32 GB,Tablet,https://www.gsmarena.com/sony_xperia_z2_tablet_wi_fi-6161.php,2026-06-03 05:54 UTC,"2014, February. Released 2014, March",2014,Discontinued,266,172,6.4,426,10.1,1200,1920,224,16GB | 32GB,3GB,1,2,6000,,,,,,,,,About 380 EUR,"18W wired, QC2",Up to 200 h,Up to 1420 h,,Up to 13 h (multimedia),,"Li-Po 6000 mAh, non-removable",IP58 dust/water resistant (up to 1.5m for 30 min),,266 x 172 x 6.4 mm (10.47 x 6.77 x 0.25 in),No,426 g (15.03 oz),"4.0, A2DP, aptX",Yes,Yes,"GPS, GLONASS","FM radio, RDS","microUSB 2.0 (MHL 3 TV-out), magnetic connector","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Triluminos display X-Reality Engine,Shatter proof glass,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","10.1 inches, 295.8 cm 2 (~64.7% screen-to-body ratio)",TFT,ANT+,"Accelerometer, gyro, compass","2014, February. Released 2014, March",Discontinued,"HDR, panorama","8.1 MP, AF","1080p@30fps, 720p@30fps (HDR), stereo sound rec.",eMMC 5.0,microSDXC (dedicated slot),"16GB 3GB RAM, 32GB 3GB RAM","Black, White",,About 380 EUR,,,,,N/A,,,No,No,,No cellular connectivity,,,,,,,Quad-core 2.3 GHz Krait 400,Qualcomm APQ8074AB Snapdragon 801 (28 nm),Adreno 330,"Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",,2.2 MP,1080p@30fps,3D surround sound,Yes,"Yes, with stereo speakers"
Sony,Sony Xperia Z2,,Phone,https://www.gsmarena.com/sony_xperia_z2-6144.php,2026-06-03 05:54 UTC,"2014, February. Released 2014, April",2014,Discontinued,146.8,73.3,8.2,163,5.2,1080,1920,424,16GB,3GB,7,2,3200,1.34,0.82,0.38,,,,,,About 260 EUR,"18W wired, QC2 (Japan)",Up to 120 h,Up to 690 h (2G) / Up to 740 h (3G),,Up to 15 h (2G) / Up to 19 h (3G),,"Li-Ion 3200 mAh, non-removable",IP58 dust/water resistant (up to 1.5m for 30 min),"Glass front, glass back, aluminum frame",146.8 x 73.3 x 8.2 mm (5.78 x 2.89 x 0.32 in),Micro-SIM,163 g (5.75 oz),"4.0, A2DP, aptX",,Yes,"GPS, GLONASS","FM radio, RDS","microUSB 2.0 (MHL TV-out), OTG, magnetic connector","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Triluminos display X-Reality Engine,Shatter proof glass,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","5.2 inches, 74.5 cm 2 (~69.3% screen-to-body ratio)",IPS LCD,ANT+,"Accelerometer, gyro, proximity, compass, barometer","2014, February. Released 2014, April",Discontinued,"LED flash, HDR, panorama","20.7 MP, f/2.0, 1/2.3"", 1.12µm, AF","4K@30fps, 1080p@60fps, 720p@120fps, HDR",eMMC 5.0,microSDXC (dedicated slot),16GB 3GB RAM,"Black, White, Purple","D6503, D6502, SO-03F, Xperia Z2",About 260 EUR,1.34 W/kg (head)     0.82 W/kg (body),0.38 W/kg (head),"1, 2, 3, 4, 5, 7, 8 - D6543",,"GSM 850 / 900 / 1800 / 1900 - D6502, D6503, D6543","HSDPA 850 / 900 / 1700 / 1900 / 2100 - D6502, D6503, D6543","1, 2, 3, 4, 5, 7, 8, 13, 17, 20 - D6503",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",GSM / HSPA / LTE,Noise -88.2dB / Crosstalk -88.9dB,Endurance rating 89h,Photo / Video,"Contrast ratio: 1195 (nominal), 1.944 (sunlight)",Voice 66dB / Noise 64dB / Ring 75dB,,Quad-core 2.3 GHz Krait 400,Qualcomm MSM8974AB Snapdragon 801 (28 nm),Adreno 330,"Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",,2.2 MP,1080p@30fps,,Yes,"Yes, with stereo speakers"
Sony,Sony Xperia E1 dual,,Phone,https://www.gsmarena.com/sony_xperia_e1_dual-5967.php,2026-06-03 05:54 UTC,"2014, January. Released 2014, March",2014,Discontinued,118,62.4,12,122,4.0,480,800,233,4GB,512MB,15,,1750,0.72,1.35,0.63,0.65,,,,,About 120 EUR,,,Up to 366 h (2G) / Up to 441 h (3G),,Up to 8 h 13 min (2G) / Up to 8 h 41 min (3G),,"Li-Ion 1750 mAh, removable",,,118 x 62.4 x 12 mm (4.65 x 2.46 x 0.47 in),"Dual SIM (Mini-SIM, dual stand-by)",122 g (4.30 oz),"4.0, A2DP",,No,"GPS, GLONASS","FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,Scratch-resistant glass,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","4.0 inches, 45.5 cm 2 (~61.8% screen-to-body ratio)",TFT,,"Accelerometer, proximity, compass","2014, January. Released 2014, March",Discontinued,"HDR, panorama",3.15 MP,SVGA@20fps,eMMC 4.5,microSDHC (dedicated slot),4GB 512MB RAM,"Black, Purple, White","D2105, D2104, D2114",About 120 EUR,0.72 W/kg (head)     1.35 W/kg (body),0.63 W/kg (head)     0.65 W/kg (body),HSDPA 900 / 2100 - D2105,,GSM 850 / 900 / 1800 / 1900 - all versions,HSDPA 850 / 1900 / 2100 - D2104/D2114,,,,HSPA 21.1/5.76 Mbps,GSM / HSPA,,,,,,,Dual-core 1.2 GHz Cortex-A7,Qualcomm MSM8210 Snapdragon 200 (28 nm),Adreno 302,"Android 4.3 (Jelly Bean), upgradable to 4.4.2 (KitKat), Timescape UI",No,,,,Yes,Yes
Sony,Sony Xperia E1,,Phone,https://www.gsmarena.com/sony_xperia_e1-5966.php,2026-06-03 05:54 UTC,"2014, January. Released 2014, March",2014,Discontinued,118,62.4,12,120,4.0,480,800,233,4GB,512MB,15,,1700,0.71,1.33,0.65,0.81,,,,,About 140 EUR,,,Up to 498 h (2G) / Up to 454 h (3G),,Up to 8 h 13 min (2G) / Up to 8 h 41 min (3G),,"Li-Ion 1700 mAh, removable",,,118 x 62.4 x 12 mm (4.65 x 2.46 x 0.47 in),Mini-SIM,120 g (4.23 oz),"4.0, A2DP",,No,"GPS, GLONASS","FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,Scratch-resistant glass,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","4.0 inches, 45.5 cm 2 (~61.8% screen-to-body ratio)",TFT,,"Accelerometer, proximity, compass","2014, January. Released 2014, March",Discontinued,"HDR, panorama","3.15 MP, f/2.5",SVGA@20fps,eMMC 4.5,microSDHC (dedicated slot),4GB 512MB RAM,"Black, Purple, White","D2004, D2005",About 140 EUR,0.71 W/kg (head)     1.33 W/kg (body),0.65 W/kg (head)     0.81 W/kg (body),HSDPA 900 / 2100 - D2005,,GSM 850 / 900 / 1800 / 1900 - all versions,HSDPA 850 / 1900 / 2100 - D2004,,,,HSPA 21.1/5.76 Mbps,GSM / HSPA,Noise -83.3dB / Crosstalk -80.1dB,Endurance rating 56h,Photo,Contrast ratio: 1.372 (sunlight),Voice 63dB / Noise 65dB / Ring 75dB,,Dual-core 1.2 GHz Cortex-A7,Qualcomm MSM8210 Snapdragon 200 (28 nm),Adreno 302,"Android 4.3 (Jelly Bean), upgradable to 4.4.2 (KitKat), Timescape UI",No,,,,Yes,Yes
Sony,Sony Xperia T2 Ultra dual,"Also known as Sony Xperia T2 Ultra dual SIM D5322, XM50h",Phone,https://www.gsmarena.com/sony_xperia_t2_ultra_dual-5968.php,2026-06-03 05:54 UTC,"2014, January. Released 2014, March",2014,Discontinued,165.2,83.8,7.7,171.8,6.0,720,1280,245,8GB,1GB,13,1,3000,1.22,1.10,0.49,0.82,,,,,About 280 EUR,,Up to 89 h,Up to 1120 h (2G) / Up to 1093 h (3G),,Up to 16 h (2G) / Up to 30 h (3G),,"Li-Ion 3000 mAh, non-removable",,,165.2 x 83.8 x 7.7 mm (6.50 x 3.30 x 0.30 in),"Dual SIM (Micro-SIM, dual stand-by)",171.8 g (6.03 oz),"4.0, A2DP, aptX",,Yes,"GPS, GLONASS","FM radio, RDS",microUSB 2.0 (MHL TV-out),"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Triluminos display,,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)","6.0 inches, 99.2 cm 2 (~71.7% screen-to-body ratio)",IPS LCD,ANT+,"Accelerometer, gyro, proximity, compass","2014, January. Released 2014, March",Discontinued,"LED flash, HDR","13 MP, AF","1080p@30fps, HDR",eMMC 4.5,microSDHC (dedicated slot),8GB 1GB RAM,"Black, White, Purple",D5322,About 280 EUR,1.22 W/kg (head)     1.10 W/kg (body),0.49 W/kg (head)     0.82 W/kg (body),,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - SIM 1,,,,HSPA 42.2/5.76 Mbps,GSM / HSPA,Noise -90.5dB / Crosstalk -92.2dB,,,"Contrast ratio: 1287 (nominal), 1.740 (sunlight)",Voice 74dB / Noise 66dB / Ring 75dB,,Quad-core 1.4 GHz Cortex-A7,Qualcomm MSM8228 Snapdragon 400 (28 nm),Adreno 305,"Android 4.3 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,1.1 MP,720p@30fps,,Yes,Yes
Sony,Sony Xperia T2 Ultra,,Phone,https://www.gsmarena.com/sony_xperia_t2_ultra-5965.php,2026-06-03 05:54 UTC,"2014, January. Released 2014, May",2014,Discontinued,165.2,83.8,7.7,171.7,6.0,720,1280,245,8GB,1GB,13,1,3000,1.22,1.10,1.22,1.53,,,,,About 230 EUR,,Up to 93 h,Up to 1071 h (2G) / Up to 1046 h (3G),,Up to 14 h (2G) / Up to 24 h (3G),,"Li-Ion 3000 mAh, non-removable",,,165.2 x 83.8 x 7.7 mm (6.50 x 3.30 x 0.30 in),Micro-SIM,171.7 g (D5303)/ 172.4 g (D5306) (6.07 oz),"4.0, A2DP, aptX",,Yes,"GPS, GLONASS","FM radio, RDS","microUSB 2.0 (MHL TV-out), OTG","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Triluminos display,,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)","6.0 inches, 99.2 cm 2 (~71.7% screen-to-body ratio)",IPS LCD,ANT+,"Accelerometer, gyro, proximity, compass","2014, January. Released 2014, May",Discontinued,"LED flash, HDR","13 MP, f/2.3, AF","1080p@30fps, HDR",eMMC 4.5,microSDHC (dedicated slot),8GB 1GB RAM,"Black, White, Purple","D5303, D5316",About 230 EUR,1.22 W/kg (head)     1.10 W/kg (body),1.22 W/kg (head)     1.53 W/kg (body),HSDPA 850 / 900 / 1700 / 1900 / 2100 - D5306,"2, 4, 7, 17 - D5306",GSM 850 / 900 / 1800 / 1900 - all versions,HSDPA 850 / 900 / 2100 - D5303,"1, 3, 5, 7, 8, 20 - D5303",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",GSM / HSPA / LTE,Noise -90.5dB / Crosstalk -92.2dB,Endurance rating 96h,Photo / Video,"Contrast ratio: 1287 (nominal), 1.740 (sunlight)",Voice 74dB / Noise 66dB / Ring 75dB,,Quad-core 1.4 GHz Cortex-A7,Qualcomm MSM8928 Snapdragon 400 (28 nm),Adreno 305,"Android 4.3 (Jelly Bean), upgradable to 5.1 (Lollipop)",,1.1 MP,720p@30fps,,Yes,Yes
Sony,Sony Xperia Z1s,"For T-MobileAlso known as Sony Xperia Z1s C6916, Sony Xperia Z1S 4G LTE",Phone,https://www.gsmarena.com/sony_xperia_z1s-5950.php,2026-06-03 05:54 UTC,"2014, January. Released 2014, January",2014,Discontinued,145.7,73.9,8.6,162,5.0,1080,1920,441,32GB,2GB,7,2,3000,0.72,1.25,,,,,,,About 260 EUR,,Up to 40 h,Up to 600 h (2G) / Up to 620 h (3G),,Up to 15 h (2G) / Up to 15 h (3G),,"Li-Ion 3000 mAh, non-removable",IP58 dust/water resistant (up to 1.5m for 30 min),,145.7 x 73.9 x 8.6 mm (5.74 x 2.91 x 0.34 in),Micro-SIM,162 g (5.71 oz),"4.0, A2DP",,Yes,"GPS, GLONASS","Stereo FM radio, RDS","microUSB 2.0 (MHL TV-out), OTG, magnetic connector","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Triluminos display X-Reality Engine,Shatter proof glass,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","5.0 inches, 68.9 cm 2 (~64.0% screen-to-body ratio)",TFT,ANT+,"Accelerometer, gyro, proximity, compass","2014, January. Released 2014, January",Discontinued,"LED flash, HDR, panorama","20.7 MP, 1/2.3"", AF","1080p@30fps, HDR",eMMC 4.5,microSDXC (dedicated slot),32GB 2GB RAM,Black,C6916,About 260 EUR,0.72 W/kg (head)     1.25 W/kg (body),,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700 / 1900 / 2100,"4, 17",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",GSM / HSPA / LTE,,,,,,,Quad-core 2.2 GHz Krait 400,Qualcomm MSM8974 Snapdragon 800 (28 nm),Adreno 330,"Android 4.3 (Jelly Bean), upgradable to 5.1 (Lollipop)",,2 MP,1080p@30fps,,Yes,Yes
Sony,Sony Xperia Z1 Compact,Also known as Sony Xperia Z1 Compact D5503,Phone,https://www.gsmarena.com/sony_xperia_z1_compact-5753.php,2026-06-03 05:54 UTC,"2014, January. Released 2014, January",2014,Discontinued,127,64.9,9.5,137,4.3,720,1280,342,16GB,2GB,7,2,2300,1.43,1.00,0.74,0.73,,,,,About 320 EUR,,Up to 94 h,Up to 670 h (2G) / Up to 600 h (3G),,Up to 10 h (2G) / Up to 18 h (3G),,"Li-Ion 2300 mAh, non-removable",IP58 dust/water resistant (up to 1.5m for 30 min),"Glass front, plastic back, aluminum frame",127 x 64.9 x 9.5 mm (5.0 x 2.56 x 0.37 in),Micro-SIM,137 g (4.83 oz),"4.0, A2DP, aptX",,Yes,"GPS, GLONASS","Stereo FM radio, RDS","microUSB 2.0 (MHL TV-out), OTG, magnetic connector","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Triluminos display X-Reality Engine,Shatter proof glass,"720 x 1280 pixels, 16:9 ratio (~342 ppi density)","4.3 inches, 51.0 cm 2 (~61.8% screen-to-body ratio)",IPS LCD,ANT+,"Accelerometer, gyro, proximity, compass","2014, January. Released 2014, January",Discontinued,"LED flash, HDR, panorama","20.7 MP, f/2.0, 1/2.3"", AF","1080p@30fps, HDR",eMMC 4.5,microSDXC (dedicated slot),16GB 2GB RAM,"Black, White, Pink, Lime","550, SO-02F",About 320 EUR,1.43 W/kg (head)     1.00 W/kg (body),0.74 W/kg (head)     0.73 W/kg (body),,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",GSM / HSPA / LTE,Noise -91.7dB / Crosstalk -41.7dB,Endurance rating 65h,Photo / Video,"Contrast ratio: 1819 (nominal), 1.772 (sunlight)",Voice 60dB / Noise 58dB / Ring 66dB,,Quad-core 2.2 GHz Krait 400,Qualcomm MSM8974 Snapdragon 800 (28 nm),Adreno 330,"Android 4.3 (Jelly Bean), upgradable to 5.1 (Lollipop)",,2 MP,1080p@30fps,,Yes,Yes
Sony,Sony Xperia Z1,"Also known as Sony Xperia Z1 Honami, Sony Xperia Z1 C6902/L39h, Sony Xperia Z1 C6903, Sony Xperia Z1 C6906, Sony Xperia Z1 C6943",Phone,https://www.gsmarena.com/sony_xperia_z1-5596.php,2026-06-03 05:54 UTC,"2013, September. Released 2013, September",2013,Discontinued,144,74,8.5,170,5.0,1080,1920,441,16GB,2GB,7,2,3000,0.75,1.15,0.77,,,,,,About 330 EUR,,Up to 110 h,Up to 880 h (2G) / Up to 850 h (3G),,Up to 13 h 50 min (2G) / Up to 15 h (3G),,"Li-Ion 3000 mAh, non-removable",IP58 dust/water resistant (up to 1.5m for 30 min),"Glass front, glass back, aluminum frame",144 x 74 x 8.5 mm (5.67 x 2.91 x 0.33 in),Micro-SIM,170 g (6.00 oz),"4.0, A2DP, aptX",,Yes,"GPS, GLONASS","Stereo FM radio, RDS","microUSB 2.0 (MHL TV-out), OTG, magnetic connector","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Triluminos display X-Reality Engine,Shatter proof glass,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","5.0 inches, 68.9 cm 2 (~64.7% screen-to-body ratio)",TFT,ANT+,"Accelerometer, gyro, proximity, compass","2013, September. Released 2013, September",Discontinued,"LED flash, HDR, panorama","20.7 MP, f/2.0, 27mm (wide), 1/2.3"", AF","1080p@30fps, HDR",eMMC 4.5,microSDXC (dedicated slot),16GB 2GB RAM,"Black, White, Purple","C6903, C6902, C6906, SO-01F, SOL23",About 330 EUR,0.75 W/kg (head)     1.15 W/kg (body),0.77 W/kg (head),"1, 2, 4, 5, 7, 8, 17 - C6906",,GSM 850 / 900 / 1800 / 1900 - all versions,HSDPA 850 / 900 / 1700 / 1900 / 2100 - all versions,"1, 2, 3, 4, 5, 7, 8, 20 - C6903, C6943",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",GSM / HSPA / LTE,Noise -91.8dB / Crosstalk -89.9dB,Endurance rating 53h,Photo / Video,"Contrast ratio: 1513 (nominal), 2.950 (sunlight)",Voice 65dB / Noise 62dB / Ring 65dB,Basemark X: 9399,Quad-core 2.2 GHz Krait 400,Qualcomm MSM8974 Snapdragon 800 (28 nm),Adreno 330,"Android 4.2 (Jelly Bean), upgradable to 5.1 (Lollipop)",,2 MP,1080p@30fps,,Yes,Yes
