Brand,Model,Also Known As,Device Type,URL,Scraped At,Announced,Release Year,Status,Length mm,Width mm,Height mm,Weight g,Display Size inches,Resolution Width px,Resolution Height px,PPI,Storage Options,RAM Options,Main Camera MP,Selfie Camera MP,Battery mAh,SAR US Head W/kg,SAR US Body W/kg,SAR EU Head W/kg,SAR EU Body W/kg,Price USD,Price EUR,Price GBP,Price INR,Price Raw,Battery_Stand-by,Battery_Talk time,Battery_Type,Body_Dimensions,Body_Keyboard,Body_SIM,Body_Weight,Camera,Comms_Bluetooth,Comms_Infrared port,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Display,Display_Resolution,Display_Size,Display_Type,Features,Features_Browser,Features_Sensors,Launch_Announced,Launch_Status,Memory_Card slot,Memory_Internal,Misc_Colors,Misc_Price,Misc_SAR EU,Network_2G bands,Network_3G bands,Network_Speed,Network_Technology,Platform_CPU,Platform_OS,Sound_3.5mm jack,Sound_Alert types,Sound_Loudspeaker,Battery_Charging,Body,Body_Build,Comms_NFC,Display_Protection,EU LABEL_Battery,EU LABEL_Energy,EU LABEL_Free fall,EU LABEL_Repairability,Main Camera_Dual,Main Camera_Features,Main Camera_Quad,Main Camera_Triple,Main Camera_Video,Memory,Misc_Models,Misc_SAR,Network,Network_2,Network_3,Network_4,Network_4G bands,Network_5G bands,Our Tests_Battery,Our Tests_Display,Our Tests_Loudspeaker,Our Tests_Performance,Platform_Chipset,Platform_GPU,Selfie camera_Dual,Selfie camera_Features,Selfie camera_Single,Selfie camera_Video,Sound,Features_Alarm,Features_Clock,Features_Games,Features_Java,Features_Messaging,Main Camera_Single,Memory_Call records,Memory_Phonebook,Network_EDGE,Network_GPRS,Selfie camera,Our Tests_Audio quality,Our Tests_Camera
Sony Ericsson,Sony Ericsson M600,M600i UMTS/900/1800/1900 MHz for EuropeM600c UMTS/900/1800/1900 MHz for Mainland China,Phone,https://www.gsmarena.com/sony_ericsson_m600-1425.php,2026-06-01 13:57 UTC,"2006, February",2006.0,Discontinued,105.0,54.0,15.0,112.0,2.6,240.0,320.0,154.0,80MB,,,,900.0,,,1.16,,,,,,About 130 EUR,Up to 340 h,Up to 7 h,Removable Li-Po 900 mAh battery (BST-33),105 x 54 x 15 mm (4.13 x 2.13 x 0.59 in),QWERTY,Mini-SIM,112 g (3.95 oz),No,"2.0, A2DP",Yes,No,No,2.0,No,Handwriting recognition (English and Chinese),"240 x 320 pixels, 4:3 ratio (~154 ppi density)","2.6 inches, 39 x 53 mm, 20.9 cm 2 (~36.9% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","MP3/AAC/H.263 player Sync ML Document viewer (Word, Excel, PowerPoint, PDF) Organizer Voice memo","HTML (Opera 8), RSS reader",,"2006, February",Discontinued,"Memory Stick Micro (M2), up to 4 GB, 64 MB included",80MB,"Granite Black, Crystal White",About 130 EUR,1.16 W/kg (head),GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps",GSM / UMTS,32-bit Philips Nexperia PNX4008 208 MHz,"Symbian 9.1, UIQ 3.0",No,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Ericsson,M608,,Phone,https://www.gsmarena.com/sony_ericsson_m608-1565.php,2026-06-01 13:57 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A36,,Phone,https://www.gsmarena.com/samsung_galaxy_a36-13497.php,2026-06-01 13:58 UTC,"2025, March 02",2025.0,"Available. Released 2025, March 10",162.9,78.2,7.4,195.0,6.7,1080.0,2340.0,385.0,128GB | 256GB,12GB | 6GB | 8GB,50.0,12.0,5000.0,1.07,,0.53,1.29,190.94,239.0,202.0,27509.0,"$ 190.94 / C$ 381.20 / £ 202.00 / € 239.00 / ₹ 27,509",,,5000 mAh,162.9 x 78.2 x 7.4 mm (6.41 x 3.08 x 0.29 in),,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),195 g (6.88 oz),,"5.4, A2DP, LE",,"GPS, GALILEO, GLONASS, BDS, QZSS",No,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm 2 (~86.5% screen-to-body ratio)","Super AMOLED, 120Hz, 1200 nits (HBM), 1900 nits (peak)",Virtual Proximity Sensing,,"Fingerprint (under display, optical), accelerometer, gyro, compass","2025, March 02","Available. Released 2025, March 10",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","Lavender, Black, White, Lime","$ 190.94 / C$ 381.20 / £ 202.00 / € 239.00 / ₹ 27,509",0.53 W/kg (head)     1.29 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),"Android 15, up to 6 major Android upgrades, One UI 8.5",No,,"Yes, with stereo speakers","45W wired, 66% in 30 min, 100% in 68 min",IP67 dust/water resistant (up to 1m for 30 min),"Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",Yes (market/region dependent),"Corning Gorilla Glass Victus+, Mohs level 5","41:28h endurance, 2000 cycles",Class C,Class C (90 falls),Class C,,"LED flash, panorama, HDR",,"50 MP, f/1.8, (wide), 1/1.96"", 0.8µm, PDAF, OIS 8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro)","4K@30fps, 1080p@30/60fps, gyro-EIS",UFS 2.2,"SM-A366E, SM-A366E/DS, SM-A366B, SM-A366B/DS, SM-A366U, SM-A366U1, SM-A366W",1.07 W/kg (head),"1, 2, 3, 4, 5, 7, 12, 13, 14, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71 - USA","2, 5, 25, 41, 66, 71, 77, 78 SA/NSA/Sub6/mmWave - USA",,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66 - International","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6 - International",Active use score 11:38h,1233 nits max brightness (measured),-26.2 LUFS (Good),AnTuTu: 613492 (v10) GeekBench: 2917 (v6) 3DMark: 912 (Wild Life Extreme),Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Adreno 710,,,"12 MP, f/2.2, (wide)","4K@30fps, 1080p@30fps, 10-bit HDR",,,,,,,,,,,,,,
Samsung,Samsung Galaxy A26,,Phone,https://www.gsmarena.com/samsung_galaxy_a26-13679.php,2026-06-01 13:58 UTC,"2025, March 02",2025.0,"Available. Released 2025, March 19",164.0,77.5,7.7,200.0,6.7,1080.0,2340.0,385.0,128GB | 256GB,4GB | 6GB | 8GB,50.0,13.0,5000.0,0.75,1.09,0.41,0.96,163.77,193.0,162.19,,$ 163.77 / C$ 288.28 / £ 162.19 / € 193.00,,,5000 mAh,164 x 77.5 x 7.7 mm (6.46 x 3.05 x 0.30 in),,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,200 g (7.05 oz),,"5.3, A2DP, LE",,"GPS, GALILEO, GLONASS, BDS, QZSS",Unspecified,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm 2 (~86.7% screen-to-body ratio)","Super AMOLED, 120Hz",Virtual proximity sensing,,"Fingerprint (side-mounted), accelerometer, gyro, compass","2025, March 02","Available. Released 2025, March 19",microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","Black, White, Mint, Peach Pink",$ 163.77 / C$ 288.28 / £ 162.19 / € 193.00,0.41 W/kg (head)     0.96 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55) - Global Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - LATAM,"Android 15, up to 6 major Android upgrades, One UI 8.5",No,,Yes,25W wired,IP67 dust/water resistant (up to 1m for 30 min),"Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",Yes (market/region dependent),"Corning Gorilla Glass Victus+, Mohs level 5","37:05h endurance, 1200 cycles",Class C,Class B (269 falls),Class C,,"LED flash, panorama, HDR",,"50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF, OIS 8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm 2 MP (macro)","4K@30fps, 1080p@30fps, 720p@480fps, gyro-EIS",,"SM-A266E, SM-A266E/DS, SM-A266E/DSN, SM-A266B, SM-A266B/DS, SM-A266B/DSN, SM-A266U, SM-A266U1, SM-A266W",0.75 W/kg (head)     1.09 W/kg (body),"1, 2, 3, 4, 5, 7, 12, 13, 14, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71 - USA","2, 5, 25, 41, 66, 71, 77, 78 SA/NSA/Sub6/mmWave - USA",,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66 - International","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6 - International",Active use score 10:44h,777 nits max brightness (measured),-27.1 LUFS (Good),AnTuTu: 579811 (v10) GeekBench: 2768 (v6) 3DMark: 794 (Wild Life Extreme),Exynos 1380 (5 nm) - Global Exynos 1280 (5 nm) - LATAM,Mali-G68 MP5 - Global Mali-G68 - LATAM,,,"13 MP, f/2.2, (wide), 1/3.06"", 1.12µm",1080p@30fps,,,,,,,,,,,,,,
Samsung,Samsung Galaxy M16,,Phone,https://www.gsmarena.com/samsung_galaxy_m16-13680.php,2026-06-01 13:58 UTC,"2025, February 27",2025.0,"Available. Released 2025, March 05",164.4,77.9,7.9,191.0,6.7,1080.0,2340.0,385.0,128GB | 256GB,4GB | 6GB | 8GB,50.0,13.0,5000.0,1.08,,0.99,1.19,,,,15999.0,"₹ 15,999",,,5000 mAh,164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),,Nano-SIM + Nano-SIM,191 g (6.74 oz),,"5.3, A2DP, LE",,"GPS, GALILEO, GLONASS, BDS, QZSS",No,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)","Super AMOLED, 90Hz, 800 nits (HBM)",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","2025, February 27","Available. Released 2025, March 05",microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Thunder Black, MInt Green, Blush Pink","₹ 15,999",0.99 W/kg (head)     1.19 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Android 15, up to 6 major Android upgrades, One UI 7",No,,Yes,25W wired,IP54 dust protected and water resistant (water splashes),"Glass front, plastic back, plastic frame",Yes,,,,,,,"LED flash, panorama, HDR",,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm 2 MP (macro)","1080p@30fps, gyro-EIS",,"SM-M166P, SM-M166P/DS",1.08 W/kg (head),,,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","1, 3, 5, 7, 8, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6",,,,,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,,,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",1080p@30fps,,,,,,,,,,,,,,
Samsung,Samsung Galaxy M06,,Phone,https://www.gsmarena.com/samsung_galaxy_m06-13681.php,2026-06-01 13:58 UTC,"2025, February 27",2025.0,"Available. Released 2025, March 07",167.4,77.4,8.0,191.0,6.74,720.0,1600.0,260.0,128GB | 64GB,4GB | 6GB,50.0,8.0,5000.0,1.05,,1.3,1.3,,,,12499.0,"₹ 12,499",,,Li-Ion 5000 mAh,167.4 x 77.4 x 8 mm (6.59 x 3.05 x 0.31 in),,Nano-SIM + Nano-SIM,191 g (6.74 oz),,"5.3, A2DP, LE",,"GPS, GALILEO, GLONASS, BDS, QZSS",Unspecified,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)","6.74 inches, 109.7 cm 2 (~84.6% screen-to-body ratio)","PLS LCD, 90Hz, 800 nits (HBM)",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","2025, February 27","Available. Released 2025, March 07",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","Blazing Black, Sage Green","₹ 12,499",1.30 W/kg (head)     1.30 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Android 15, up to 4 major Android upgrades, One UI Core 7.0",Yes,,Yes,25W wired,,"Glass front, plastic back, plastic frame",No,,,,,,"50 MP, f/1.8, (wide), PDAF Auxiliary lens",LED flash,,,1080p@30fps,,"SM-M066B, SM-M066B/DS",1.05 W/kg (head),,,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","1, 3, 5, 7, 8, 26, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6",,,,,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",Yes,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A06 5G,,Phone,https://www.gsmarena.com/samsung_galaxy_a06_5g-13662.php,2026-06-01 13:58 UTC,"2025, February 19",2025.0,"Available. Released 2025, February 19",167.3,77.3,8.0,191.0,6.7,720.0,1600.0,262.0,128GB | 64GB,4GB | 6GB,50.0,8.0,5000.0,1.05,,1.3,1.3,169.99,,,12290.0,"C$ 169.99 / ₹ 12,290",,,Li-Ion 5000 mAh,167.3 x 77.3 x 8 mm (6.59 x 3.04 x 0.31 in),,Nano-SIM + Nano-SIM,191 g (6.74 oz),,"5.3, A2DP, LE",,"GPS, GLONASS, GALILEO, BDS",FM radio,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)","6.7 inches, 108.4 cm 2 (~83.8% screen-to-body ratio)","PLS LCD, 90Hz",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","2025, February 19","Available. Released 2025, February 19",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","Black, Gray, Light Green","C$ 169.99 / ₹ 12,290",1.30 W/kg (head)     1.30 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Android 15, up to 4 major Android upgrades, One UI 7",Yes,,Yes,25W wired,IP54 dust protected and water resistant (water splashes),"Glass front, plastic back, plastic frame",No,,,,,,"50 MP, f/1.8, 26mm (wide), 1/2.75"", 0.64µm, PDAF Auxiliary lens",LED flash,,,1080p@30/60fps,,"SM-A066B, SM-A066B/DS",1.05 W/kg (head),,,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","1, 3, 5, 7, 8, 26, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6",,,,,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,,,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",1080p@30fps,,,,,,,,,,,,,,
Samsung,Samsung Galaxy F06 5G,,Phone,https://www.gsmarena.com/samsung_galaxy_f06_5g-13663.php,2026-06-01 13:58 UTC,"2025, February 12",2025.0,Available. Released February 20,167.4,77.4,8.0,191.0,6.7,720.0,1600.0,262.0,128GB | 64GB,4GB | 6GB,50.0,8.0,5000.0,1.05,,1.3,1.3,,,,12298.0,"₹ 12,298",,,Li-Ion 5000 mAh,167.4 x 77.4 x 8 mm (6.59 x 3.05 x 0.31 in),,Nano-SIM + Nano-SIM,191 g (6.74 oz),,"5.3, A2DP, LE",,"GPS, GLONASS, GALILEO, BDS",Unspecified,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)","6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio)","PLS LCD, 800 nits (HBM)",,,"Fingerprint (side-mounted), accelerometer, proximity, compass","2025, February 12",Available. Released February 20,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","Bahama Blue, Lit Violet","₹ 12,298",1.30 W/kg (head)     1.30 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Android 15, up to 4 major Android upgrades, One UI Core 7.0",Yes,,Yes,25W wired,,"Glass front, plastic back, plastic frame",No,,,,,,"50 MP, f/1.8, (wide), PDAF Auxiliary lens",LED flash,,,1080p@30/60fps,,"SM-E066B, SM-E066B/DS",1.05 W/kg (head),,,,,LTE,SA/NSA,,,,,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",Yes,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S25 Ultra,,Phone,https://www.gsmarena.com/samsung_galaxy_s25_ultra-13322.php,2026-06-01 13:58 UTC,"2025, January 22",2025.0,"Available. Released 2025, February 03",162.8,77.6,8.2,218.0,6.9,1440.0,3120.0,498.0,1TB | 256GB | 512GB,12GB | 16GB,200.0,12.0,5000.0,1.26,0.64,1.25,1.42,755.74,768.0,634.25,93900.0,"$ 755.74 / C$ 1,079.84 / £ 634.25 / € 768.00 / ₹ 93,900",,,Li-Ion 5000 mAh,162.8 x 77.6 x 8.2 mm (6.41 x 3.06 x 0.32 in),,· Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time) - INT · Nano-SIM + eSIM + eSIM (max 2 at a time) - USA · Nano-SIM + Nano-SIM - CN,218 g (7.69 oz),,"5.4, A2DP, LE",,"GPS, GLONASS, BDS, GALILEO, QZSS",No,"USB Type-C 3.2, DisplayPort 1.2, OTG","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",DX anti-reflective coating,"1440 x 3120 pixels, 19.5:9 ratio (~498 ppi density)","6.9 inches, 116.9 cm 2 (~92.5% screen-to-body ratio)","Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)","Samsung DeX, Samsung Wireless DeX (desktop experience support) Ultra Wideband (UWB) support",,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","2025, January 22","Available. Released 2025, February 03",No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM","Titanium Silver Blue, Titanium Black, Titanium White Silver, Titanium Gray, Titanium Jade Green, Titanium Jet Black, Titanium Pink Gold","$ 755.74 / C$ 1,079.84 / £ 634.25 / € 768.00 / ₹ 93,900",1.25 W/kg (head)     1.42 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE (CA), 5G",GSM / CDMA / HSPA / EVDO / LTE / 5G,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),"Android 15, up to 7 major Android upgrades, One UI 8",No,,"Yes, with stereo speakers","45W wired, PD3.0, 65% in 30 min 15W wireless (Qi2 Ready) 4.5W reverse wireless",IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) Stylus,"Glass front (Corning Gorilla Armor 2), glass back (Gorilla Glass Victus 2), titanium frame (grade 5)",Yes,"Corning Gorilla Armor 2, Mohs level 6","44:54h endurance, 2000 cycles",Class B,Class A (270 falls),Class C,,"Laser AF, Best Face, LED flash, auto-HDR, panorama","200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom 50 MP, f/3.4, 111mm (periscope telephoto), 1/2.52"", 0.7µm, PDAF, OIS, 5x optical zoom 50 MP, f/1.9, 120˚ (ultrawide), 1/2.5"", 0.7µm, dual pixel PDAF, Super Steady video",,"8K@24/30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 10-bit HDR, HDR10+, stereo sound rec., gyro-EIS",UFS 4.0,"SM-S938B, SM-S938B/DS, SM-S938U, SM-S938U1, SM-S938W, SM-S938N, SM-S9380, SM-S938E, SM-S938E/DS",1.26 W/kg (head)     0.64 W/kg (body),CDMA 800 / 1900 & TD-SCDMA,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71 - USA unlocked","1, 2, 5, 7, 25, 28, 41, 66, 71, 77, 78, 257, 258, 260, 261 SA/NSA/Sub6/mmWave - USA unlocked","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International","1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6 - International",Active use score 14:49h,1417 nits max brightness (measured),-24.6 LUFS (Very good),AnTuTu: 2207809 (v10) GeekBench: 9846 (v6) 3DMark: 6687 (Wild Life Extreme),Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),Adreno 830 (1200 MHz),,"HDR, HDR10+","12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm, dual pixel PDAF","4K@30/60fps, 1080p@30fps",High-bitrate audio support,,,,,,,,,,,,,
Samsung,Samsung Galaxy S25+,,Phone,https://www.gsmarena.com/samsung_galaxy_s25+-13609.php,2026-06-01 13:58 UTC,"2025, January 22",2025.0,"Available. Released 2025, February 03",158.4,75.8,7.3,190.0,6.7,1440.0,3120.0,513.0,256GB | 512GB,12GB,50.0,12.0,4900.0,1.16,0.81,1.26,1.26,557.22,735.0,549.0,,$ 557.22 / C$ 869.99 / £ 549.00 / € 735.00,,,Li-Ion 4900 mAh,158.4 x 75.8 x 7.3 mm (6.24 x 2.98 x 0.29 in),,· Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time) - INT · Nano-SIM + eSIM + eSIM (max 2 at a time) - USA · Nano-SIM + Nano-SIM - CN,190 g (6.70 oz),,"5.4, A2DP, LE",,"GPS, GLONASS, BDS, GALILEO, QZSS",No,"USB Type-C 3.2, DisplayPort 1.2, OTG","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",,"1440 x 3120 pixels, 19.5:9 ratio (~513 ppi density)","6.7 inches, 110.2 cm 2 (~91.8% screen-to-body ratio)","Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)","Samsung DeX, Samsung Wireless DeX (desktop experience support) Ultra Wideband (UWB) support",,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","2025, January 22","Available. Released 2025, February 03",No,"256GB 12GB RAM, 512GB 12GB RAM","Icy Blue, Mint, Navy, Silver Shadow, Pink Gold, Coral Red, Blue Black",$ 557.22 / C$ 869.99 / £ 549.00 / € 735.00,1.26 W/kg (head)     1.26 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE (CA), 5G",GSM / CDMA / HSPA / EVDO / LTE / 5G,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),"Android 15, up to 7 major Android upgrades, One UI 8",No,,"Yes, with stereo speakers","45W wired, PD3.0, 65% in 30 min 15W wireless (Qi2 Ready) 4.5W reverse wireless",IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) Armor aluminum 2 frame,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",Yes,"Corning Gorilla Glass Victus 2, Mohs level 5","43:38h endurance, 2000 cycles",Class B,Class A (270 falls),Class C,,"Best Face, LED flash, auto-HDR, panorama",,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","8K@24/30fps, 4K@30/60fps, 1080p@30/60/120/240fps, 10-bit HDR, HDR10+, stereo sound rec., gyro-EIS",UFS 4.0,"SM-S936B, SM-S936B/DS, SM-S936U, SM-S936U1, SM-S936W, SM-S936N, SM-S9360, SM-S936E, SM-S936E/DS",1.16 W/kg (head)     0.81 W/kg (body),CDMA 800 / 1900 & TD-SCDMA,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71 - USA unlocked","1, 2, 5, 7, 25, 28, 41, 66, 71, 77, 78, 257, 258, 260, 261 SA/NSA/Sub6/mmWave - USA unlocked","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International","1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6 - International",Active use score 14:26h,1449 nits max brightness (measured),-25.1 LUFS (Very good),AnTuTu: 2133477 (v10) GeekBench: 9669 (v6) 3DMark: 6601 (Wild Life Extreme),Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),Adreno 830 (1200 MHz),,"HDR, HDR10+","12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm, dual pixel PDAF","4K@30/60fps, 1080p@30fps",High-bitrate audio support,,,,,,,,,,,,,
