Brand,Model,Also Known As,Device Type,URL,Scraped At,Announced,Release Year,Status,Length mm,Width mm,Height mm,Weight g,Display Size inches,Resolution Width px,Resolution Height px,PPI,Storage Options,RAM Options,Main Camera MP,Selfie Camera MP,Battery mAh,SAR US Head W/kg,SAR US Body W/kg,SAR EU Head W/kg,SAR EU Body W/kg,Price USD,Price EUR,Price GBP,Price INR,Price Raw,Battery_Charging,Battery_Stand-by,Battery_Talk time,Battery_Type,Body,Body_Dimensions,Body_SIM,Body_Weight,Camera,Comms_Bluetooth,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Display,Display_Protection,Display_Resolution,Display_Size,Display_Type,EU LABEL_Battery,EU LABEL_Energy,EU LABEL_Free fall,EU LABEL_Repairability,Features,Features_Alarm,Features_Browser,Features_Clock,Features_Games,Features_Java,Features_Languages,Features_Messaging,Features_Sensors,Launch_Announced,Launch_Status,Main Camera_Dual,Main Camera_Features,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Memory,Memory_Call records,Memory_Card slot,Memory_Internal,Memory_Phonebook,Misc_Colors,Misc_Models,Misc_Price,Misc_SAR,Misc_SAR EU,Network,Network_2,Network_2G bands,Network_3G bands,Network_4G bands,Network_5G bands,Network_EDGE,Network_GPRS,Network_Speed,Network_Technology,Our Tests_Loudspeaker,Platform_CPU,Platform_Chipset,Platform_GPU,Platform_OS,Selfie camera,Selfie camera_Single,Selfie camera_Video,Sound_3.5mm jack,Sound_Alert types,Sound_Loudspeaker
Samsung,Samsung F330,,Phone,https://www.gsmarena.com/samsung_f330-2090.php,2026-06-03 05:17 UTC,"2007, August. Released 2007, December",2007,Discontinued,103,48,13.5,98,2.1,240,320,190,24MB,,2,,,0.99,0.60,0.76,,,,,,About 110 EUR,,Up to 300 h,Up to 3 h 20 min,Removable battery,,103 x 48 x 13.5 mm (4.06 x 1.89 x 0.53 in),Mini-SIM,98 g (3.46 oz),,"2.0, A2DP",,No,"Stereo FM radio, RDS",2.0,No,,,"240 x 320 pixels, 4:3 ratio (~190 ppi density)","2.1 inches, 13.7 cm 2 (~27.6% screen-to-body ratio)","TFT, 256K colors",,,,,MP3/eACC/WMA player MP4/H.263 player Photo editor Organizer Voice memo Predictive text input,,WAP 2.0/xHTML,,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, EMS, MMS, Email",,"2007, August. Released 2007, December",Discontinued,,,2 MP,,Yes,,"30 dialed, 30 received, 30 missed calls",microSD (dedicated slot),24MB,"1000 entries, Photo call",Ice White,,About 110 EUR,0.99 W/kg (head)     0.60 W/kg (body),0.76 W/kg (head),,,GSM 900 / 1800 / 1900,HSDPA 2100,,,,,HSPA 3.6/0.384 Mbps,GSM / HSPA,,,,,,,VGA videocall camera,,No,"Vibration, MP3 ringtones",Yes
Samsung,Samsung F250,Also known as Samsung Fame,Phone,https://www.gsmarena.com/samsung_f250-2186.php,2026-06-03 05:17 UTC,"2007, August. Released 2008, January",2007,Discontinued,94,46,17.5,96,2.0,128,160,102,20MB,,3,,800,0.25,0.15,0.53,,,,,,About 80 EUR,,Up to 290 h,Up to 6 h,Removable Li-Ion 800 mAh battery,,94 x 46 x 17.5 mm (3.70 x 1.81 x 0.69 in),Mini-SIM,96 g (3.39 oz),,"2.0, A2DP",,No,FM radio,2.0,No,,,128 x 160 pixels (~102 ppi density),"2.0 inches, 12.6 cm 2 (~29.1% screen-to-body ratio)","TFT, 65K colors",,,,,MP3/AAC/eACC/WMA player Predictive text input Photo editor Organizer Voice memo,,WAP 2.0/xHTML,,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, MMS, Email",,"2007, August. Released 2008, January",Discontinued,,,1.3 MP,,Yes,,"30 dialed, 30 received, 30 missed calls",microSD (dedicated slot),20MB,"1000 entries, Photo call","Black, Ice Blue, Candy Red, Metallic Green, Caramel Orange",,About 80 EUR,0.25 W/kg (head)     0.15 W/kg (body),0.53 W/kg (head),,,GSM 900 / 1800 / 1900,,,,Class 10,Class 10,,GSM,,,,,,No,,,Yes,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes
Samsung,Samsung i450,,Phone,https://www.gsmarena.com/samsung_i450-2076.php,2026-06-03 05:17 UTC,"2007, August. Released 2008, February",2007,Discontinued,101,52,17.8,114,2.4,240,320,167,40MB,,2,,,,,0.83,,,,,,About 160 EUR,,Up to 500 h,Up to 5 h,Removable Li-Ion battery,,101 x 52 x 17.8 mm (3.98 x 2.05 x 0.70 in),Mini-SIM,114 g (4.02 oz),,"2.0, A2DP",,No,"Stereo FM radio, RDS",2.0,No,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm 2 (~34.0% screen-to-body ratio)","TFT, 256K colors",,,,,"WMV/RV/MP4/3GP player MP3/WMA/WAV/RA/AAC/M4A player Organizer Document viewer (Word, Excel, PowerPoint, PDF)",,"WAP 2.0/xHTML, HTML",,,,,,,"2007, August. Released 2008, February",Discontinued,,LED flash,2 MP,,Yes,,,microSD (dedicated slot),40MB,,Dark Blue,,About 160 EUR,,0.83 W/kg (head),,,GSM 900 / 1800 / 1900,HSDPA 2100,,,,,HSPA 3.6/0.384 Mbps,GSM / HSPA,Voice 70dB / Noise 72dB / Ring 75dB,330 MHz ARM 1136,TI OMAP 2431,PowerVR MBX,"Symbian OS 9.2, Series 60 v3.1 UI",,VGA videocall camera,,Yes,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes
Samsung,Samsung Armani,Formerly known as Samsung P520,Phone,https://www.gsmarena.com/samsung_armani-2046.php,2026-06-03 05:17 UTC,"2007, September. Released 2007, December",2007,Discontinued,87.5,54.5,10.5,85,2.6,240,320,154,60MB,,15,,880,1.44,0.36,0.92,,,,,,About 290 EUR,,Up to 220 h,Up to 6 h,Removable Li-Ion 880 mAh battery,,87.5 x 54.5 x 10.5 mm (3.44 x 2.15 x 0.41 in),Mini-SIM,85 g (3.00 oz),,"2.0, A2DP",,No,No,2.0,No,,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)","2.6 inches, 20.9 cm 2 (~43.9% screen-to-body ratio)","TFT resistive touchscreen, 256K colors",,,,,"MP3/ACC/ACC+ player Document viewer (Word, Excel, PowerPoint, PDF) Organizer Voice memo",,WAP 2.0/xHTML,,2 + downloadable,"Yes, MIDP 2.0",,"SMS, MMS, Email",,"2007, September. Released 2007, December",Discontinued,,,3.15 MP,,CIF,,"30 dialed, 30 received, 3 0 missed calls",microSD (dedicated slot),60MB,"1000 entries, Photo call",Black,,About 290 EUR,1.44 W/kg (head)     0.36 W/kg (body),0.92 W/kg (head),,,GSM 900 / 1800 / 1900,,,,Yes,Class 10,,GSM,Voice 69dB / Noise 64dB / Ring 71dB,,,,,No,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",No
Samsung,Samsung J610,,Watch,https://www.gsmarena.com/samsung_j610-2164.php,2026-06-03 05:17 UTC,"2007, October. Released 2008, January",2007,Discontinued,98.5,48.2,15.9,81,1.9,176,220,148,15MB,,2,,800,0.27,0.14,0.85,,,,,,About 90 EUR,,Up to 250 h,Up to 2 h 30 min,Removable Li-Ion 800 mAh battery,,98.5 x 48.2 x 15.9 mm (3.88 x 1.90 x 0.63 in),Mini-SIM,81 g (2.86 oz),,2.0,,No,FM radio,2.0,No,,,176 x 220 pixels (~148 ppi density),"1.9 inches, 11.4 cm 2 (~23.9% screen-to-body ratio)","TFT, 65K colors",,,,,MP3/AAC/AAC+/WMA player MP4/3gp player Organizer Currency converter Voice memo Predictive text input,,"WAP 2.0/WAP Push, xHTML",,Yes,"Yes, MIDP 2.0",,"SMS, MMS, EMS",,"2007, October. Released 2008, January",Discontinued,,,2 MP,,Yes,,"20 dialed, 20 received, 20 missed calls",microSD (dedicated slot),15MB,"Yes, Photo call","Gray, White, Red, Blue",,About 90 EUR,0.27 W/kg (head)     0.14 W/kg (body),0.85 W/kg (head),,,GSM 900 / 1800 / 1900,,,,Class 10,Class 10,,GSM,,,,,,No,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",No
Samsung,Samsung J400,,Phone,https://www.gsmarena.com/samsung_j400-2224.php,2026-06-03 05:17 UTC,"2008, January. Released 2008, October",2008,Discontinued,99,49.5,15.9,101.2,2.0,176,220,141,8MB,,3,,820,0.37,0.56,0.19,,,,,,About 80 EUR,,Up to 250 h,Up to 3 h,Removable Li-Ion 820 mAh battery,,99 x 49.5 x 15.9 mm (3.90 x 1.95 x 0.63 in),Mini-SIM,101.2 g (3.56 oz),,2.0,,No,No,2.0,No,"Second external, monochrome display (96 x 96 pixels)",,176 x 220 pixels (~141 ppi density),"2.0 inches, 12.6 cm 2 (~25.7% screen-to-body ratio)","TFT, 256K colors",,,,,MP3/AAC/AAC+/WMA player MP4/3gp player Organizer Currency converter Voice memo Predictive text input,,"WAP 2.0/xHTML, HTML (NetFront 3.4)",,Yes,"Yes, MIDP 2.0",,"SMS, EMS, MMS, Email",,"2008, January. Released 2008, October",Discontinued,,,1.3 MP,,QCIF,,"20 dialed, 20 received, 20 missed calls",microSD (dedicated slot),8MB,"1000 entries, Photocall",Black,,About 80 EUR,0.37 W/kg (head)     0.56 W/kg (body),0.19 W/kg (head),,,GSM 900 / 1800 / 1900,UMTS 2100,,,,,"Yes, 384 kbps",GSM / UMTS,,,,,,,VGA videocall camera,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",No
Siemens,Siemens S10,,Phone,https://www.gsmarena.com/siemens_s10-86.php,2026-06-03 05:17 UTC,1998,,Discontinued,147,46,25,185,,97,54,,,,,,1800,,,,,,,,,,,120 h,10 h,Removable Li-Ion 1800 mAh battery,,"147 x 46 x 25 mm, 160 cc (5.79 x 1.81 x 0.98 in)",Mini-SIM,185 g (6.53 oz),No,No,,No,No,,No,Dynamic font size Softkey,,"97 x 54 pixels, 6 lines, 16:9 ratio",,Color graphic,,,,,Voice memo (20 sec) Help function,Yes,,Yes,No,No,20,SMS,,1998,Discontinued,,,,,,,"10 dialed, 10 received, 10 missed calls",No,,50,Anthracite,,,,,,,GSM 900,,,,No,No,,GSM,,,,,,,,,No,Monophonic ringtones,No
Siemens,Siemens S11,,Phone,https://www.gsmarena.com/siemens_s11-87.php,2026-06-03 05:17 UTC,1998,,Discontinued,147,46,25,185,,97,54,,,,,,1800,,,,,,,,,,,120 h,10 h,Removable Li-Ion 1800 mAh battery,,"147 x 46 x 25 mm, 160 cc (5.79 x 1.81 x 0.98 in)",Mini-SIM,185 g (6.53 oz),No,No,,No,No,,No,Dynamic font size Softkey,,"97 x 54 pixels, 6 lines, 16:9 ratio",,Color graphic,,,,,Voice memo (20 sec) Help function,Yes,,Yes,No,No,20,SMS,,1998,Discontinued,,,,,,,"10 dialed, 10 received, 10 missed calls",No,,50,Anthracite,,,,,,,GSM 1800,,,,No,No,,GSM,,,,,,,,,No,Monophonic ringtones,No
Siemens,Siemens C10,,Phone,https://www.gsmarena.com/siemens_c10-84.php,2026-06-03 05:17 UTC,1998,,Discontinued,137,55,22,165,,,,,,,,,700,,,,,,,,,,,80 h,5 h,Removable NiMH 700 mAh battery,,"137 x 55 x 22 mm, 149 cc (5.39 x 2.17 x 0.87 in)",Mini-SIM,165 g (5.82 oz),No,No,,No,No,,No,Fixed icons Softkey,,3 x 12 chars,,Alphanumeric,,,,,,No,,No,No,No,20,SMS,,1998,Discontinued,,,,,,,"5 dialed, 4 received, 4 missed calls",No,,50,"3 - blue, red, grey",,,,,,,GSM 900,,,,No,No,,GSM,,,,,,,,,No,Monophonic ringtones,No
Siemens,Siemens C11,,Phone,https://www.gsmarena.com/siemens_c11-85.php,2026-06-03 05:17 UTC,1998,,Discontinued,137,55,22,165,,,,,,,,,700,,,,,,,,,,,80 h,5 h,Removable NiMH 700 mAh battery,,"137 x 55 x 22 mm, 149 cc (5.39 x 2.17 x 0.87 in)",Mini-SIM,165 g (5.82 oz),No,No,,No,No,,No,Fixed icons Softkey,,3 x 12 chars,,Alphanumeric,,,,,,No,,No,No,No,20,SMS,,1998,Discontinued,,,,,,,"5 dialed, 4 received, 4 missed calls",No,,50,"3 - blue, red, grey",,,,,,,GSM 1800,,,,No,No,,GSM,,,,,,,,,No,Monophonic ringtones,No
